name,player_id,pitch_type,pitch_result,atbat_result,start_speed,z0,x0,pfx_x,pfx_z,px,pz,break_angle,break_length,spin_rate,spin_dir,zone,balls,strikes,outs,play,game_date,inning,inning_topbot,tfs,tfs_zulu,catcher,umpire,umpire_name,stolen_base_attempt,stolen_base_success,batted_ball_type,,angle,batted_ball_velocity,direction,hc_x,hc_y,pitch_id,distance_feet
"Zack Greinke                  ",425844,FF,"Called Strike",Groundout,"91.8      ",6.146,-0.736,"-1.660              ","8.780               ",1.269,"2.459               ","5.6       ","4.0       ","1760.191  ","190.656   ",12,0,0,0,"Jedd Gyorko grounds out, second baseman Howie Kendrick to first baseman Adrian Gonzalez.  ",2015-10-03,2,top,012437,2015-10-04T01:24:37Z,518735,483561,"Lance Barrett",0,0,,,0.0,70.0,,141.7300,157.1100,54,0.0
"Zack Greinke                  ",425844,FF,Ball,Strikeout,"93.8      ",6.219,-0.711,"-2.753              ","10.886              ",1.098,"3.352               ","17.7      ","2.8       ","2273.990  ","194.144   ",12,1,2,0,"Melvin Upton Jr.   strikes out swinging.  ",2015-10-03,4,top,015046,2015-10-04T01:50:46Z,518735,483561,"Lance Barrett",0,0,,,,,,0.0000,0.0000,143,
"Zack Greinke                  ",425844,FT,Ball,Strikeout,"90.0      ",5.939,-1.046,"-8.678              ","2.809               ",0.370,"1.460               ","26.7      ","7.2       ","1786.525  ","251.812   ",14,2,2,0,"Melvin Upton Jr.   strikes out swinging.  ",2015-10-03,4,top,015104,2015-10-04T01:51:04Z,518735,483561,"Lance Barrett",0,0,,,,,,0.0000,0.0000,144,
"Zack Greinke                  ",425844,CH,Ball,Strikeout,"89.9      ",5.919,-1.068,"-9.532              ","1.380               ",0.671,"0.536               ","26.1      ","8.0       ","1868.464  ","261.516   ",14,0,1,0,"Melvin Upton Jr.   strikes out swinging.  ",2015-10-03,4,top,014959,2015-10-04T01:49:59Z,518735,483561,"Lance Barrett",0,0,,,,,,0.0000,0.0000,141,
"Zack Greinke                  ",425844,CU,"Called Strike",Groundout,"74.3      ",6.275,-1.240,"4.740               ","-7.531              ",-0.540,"3.143               ","-8.0      ","13.9      ","1408.834  ","32.399    ","1 ",1,1,2,"Brett Wallace grounds out, second baseman Howie Kendrick to first baseman Adrian Gonzalez.  ",2015-10-03,4,top,015731,2015-10-04T01:57:31Z,518735,483561,"Lance Barrett",0,0,,,0.0,85.0,,156.2700,161.4800,168,0.0
"Zack Greinke                  ",425844,FF,Ball,Single,"91.8      ",6.121,-0.661,"-1.507              ","9.496               ",1.584,"2.695               ","5.8       ","3.5       ","1929.579  ","188.978   ",12,0,0,0,"Austin Hedges singles on a ground ball to center fielder Enrique Hernandez.  ",2015-10-03,3,top,013615,2015-10-04T01:36:15Z,518735,483561,"Lance Barrett",0,0,,,0.0,104.0,,123.5600,97.2600,93,0.0
"Zack Greinke                  ",425844,FF,"Called Strike",Groundout,"92.0      ",6.139,-1.249,"-2.460              ","9.953               ",-0.869,"2.750               ","15.4      ","3.4       ","2044.239  ","193.829   ",11,1,1,0,"Alexi Amarista grounds out softly, pitcher Zack Greinke to first baseman Adrian Gonzalez.  ",2015-10-03,5,top,020949,2015-10-04T02:09:49Z,518735,483561,"Lance Barrett",0,0,,,,,,117.5100,190.7800,212,
"Zack Greinke                  ",425844,SL,Foul,Groundout,"83.8      ",6.331,-1.039,"2.340               ","1.477               ",-0.454,"1.201               ","-6.9      ","8.1       ","510.395   ","123.087   ",13,1,2,0,"Alexi Amarista grounds out softly, pitcher Zack Greinke to first baseman Adrian Gonzalez.  ",2015-10-03,5,top,021008,2015-10-04T02:10:08Z,518735,483561,"Lance Barrett",0,0,,,,,,117.5100,190.7800,213,
"Zack Greinke                  ",425844,FT,"Called Strike",Groundout,"93.2      ",5.988,-1.372,"-5.913              ","8.319               ",-1.016,"3.026               ","31.8      ","4.3       ","2073.010  ","215.279   ",11,1,0,1,"Yangervis Solarte grounds out, second baseman Howie Kendrick to first baseman Adrian Gonzalez.  ",2015-10-03,4,top,015213,2015-10-04T01:52:13Z,518735,483561,"Lance Barrett",0,0,,,0.0,104.0,,147.7900,158.9900,150,0.0
"Zack Greinke                  ",425844,FF,"Swinging Strike",Strikeout,"93.0      ",5.972,-0.858,"-2.308              ","10.355              ",0.587,"2.567               ","13.5      ","3.1       ","2136.568  ","192.519   ","6 ",3,2,0,"Melvin Upton Jr.   strikes out swinging.  ",2015-10-03,4,top,015126,2015-10-04T01:51:26Z,518735,483561,"Lance Barrett",0,0,,,,,,0.0000,0.0000,145,
"Zack Greinke                  ",425844,FF,"In play, out(s)","Sac Bunt","90.0      ",5.987,-1.185,"-3.643              ","10.472              ",-0.453,"2.730               ","21.5      ","3.6       ","2164.956  ","199.108   ","1 ",0,0,1,"Robbie Erlin out on a sacrifice bunt, third baseman Justin Turner to first baseman Adrian Gonzalez.   Austin Hedges to 3rd.  ",2015-10-03,3,top,014027,2015-10-04T01:40:27Z,518735,483561,"Lance Barrett",0,0,GB,,,,,117.5100,192.0300,108,
"Zack Greinke                  ",425844,CH,"In play, out(s)","Sac Bunt","85.5      ",6.094,-1.283,"-8.404              ","2.409               ",-0.202,"2.770               ","24.2      ","7.8       ","1648.444  ","253.719   ","2 ",1,1,0,"Travis Jankowski out on a sacrifice bunt, third baseman Justin Turner to first baseman Adrian Gonzalez.   Austin Hedges to 2nd.  ",2015-10-03,3,top,013923,2015-10-04T01:39:23Z,518735,483561,"Lance Barrett",0,0,GB,,,,,122.3500,195.1500,103,
"Zack Greinke                  ",425844,FF,"Swinging Strike",Strikeout,"94.1      ",6.139,-0.891,"-1.476              ","7.363               ",0.833,"3.243               ","5.3       ","4.0       ","1532.217  ","191.277   ",12,1,1,1,"Melvin Upton Jr.   strikes out swinging.  ",2015-10-03,1,top,011228,2015-10-04T01:12:28Z,518735,483561,"Lance Barrett",0,0,,,,,,0.0000,0.0000,11,
"Zack Greinke                  ",425844,CH,"In play, out(s)",Groundout,"89.7      ",5.991,-1.253,"-8.073              ","2.048               ",-0.571,"1.378               ","24.6      ","7.4       ","1634.396  ","255.488   ","7 ",0,2,0,"Cory Spangenberg grounds out, second baseman Howie Kendrick to first baseman Adrian Gonzalez.  ",2015-10-03,1,top,011122,2015-10-04T01:11:22Z,518735,483561,"Lance Barrett",0,0,GB,,,,,145.9700,165.8400,5,
"Zack Greinke                  ",425844,SL,"Called Strike",Strikeout,"85.0      ",6.053,-1.254,"3.431               ","0.413               ",-1.033,"1.931               ","-9.4      ","8.3       ","636.588   ","97.637    ",13,3,2,2,"Travis Jankowski called out on strikes.  ",2015-10-03,7,top,024501,2015-10-04T02:45:01Z,518735,483561,"Lance Barrett",0,0,,,,,,0.0000,0.0000,330,
"Zack Greinke                  ",425844,SL,"In play, out(s)","Pop Out","87.1      ",6.224,-0.904,"1.390               ","0.847               ",0.075,"1.689               ","-4.8      ","7.8       ","311.012   ","122.668   ","8 ",0,2,1,"Austin Hedges pops out to second baseman Howie Kendrick.  ",2015-10-03,7,top,024211,2015-10-04T02:42:11Z,518735,483561,"Lance Barrett",0,0,PU,,0.0,73.0,,175.0500,132.8000,320,0.0
"Zack Greinke                  ",425844,FF,"In play, run(s)","Home Run","92.3      ",6.180,-1.206,"-2.761              ","9.134               ",-0.165,"3.503               ","15.8      ","3.5       ","1928.096  ","196.749   ",11,0,1,1,"Austin Hedges homers (3) on a fly ball to left center field.  ",2015-10-03,5,top,021145,2015-10-04T02:11:45Z,518735,483561,"Lance Barrett",0,0,FB,,29.0,103.0,,50.8800,31.1700,219,425.0
"Zack Greinke                  ",425844,SL,"Swinging Strike",Strikeout,"87.4      ",6.312,-0.975,"1.309               ","3.610               ",1.181,"2.358               ","-6.5      ","6.7       ","730.342   ","160.303   ",14,1,0,1,"Melvin Upton Jr.   strikes out swinging.  ",2015-10-03,1,top,011211,2015-10-04T01:12:11Z,518735,483561,"Lance Barrett",0,0,,,,,,0.0000,0.0000,10,
"Zack Greinke                  ",425844,CH,"Swinging Strike",Strikeout,"90.1      ",5.884,-1.615,"-7.972              ","0.879               ",-1.456,"1.574               ","23.5      ","7.8       ","1575.459  ","263.411   ",13,0,0,2,"Brett Wallace strikes out swinging.  ",2015-10-03,6,top,023012,2015-10-04T02:30:12Z,518735,483561,"Lance Barrett",0,0,,,,,,0.0000,0.0000,283,
